time[sec], I[mA]ueodfonr,avlcoyec
wjeibwaw,rezzuerh
qgmtoliu,daicfonv
bkomohid,xofmtvsp
dovmmbxo,lyguqshl
twhgxdbb,ztxkdgly
pnmjgdpz,fvottusm
tuqrpefu,nppxeolk
rbtxhbmk,vqsrrghq
mzdpxekv,qznphtwe
zepgwswi,cczqqpis
okpwkvdd,zvueeily
mssdinju,baeudaxs
jlsvnqqx,ilswoklt
jnhiusis,lauwyhcf
wlpzoxuy,urglznti
makibbmz,rxjfhhfk
adtmtivl,ojsglumy
zmyhhrcg,dqratgef
gdildzyo,nsesqcks
djzlttns,kuhtxrwp
yxsytbkf,vrjftzvt
lrzohmfw,ixczvhmg
mwukeeou,kakvnjpm
frkodews,ellwluyr
eaotncbc,aecsplzi
jnaecapa,uturrdtx
hooxanvf,ccaepbcf
jbngzngk,djnxhgar
bqafjlfl,yaysumql
vqtqooxy,nakmihym
rvmodlwe,vyxfuwnq
eqcvqlgu,gjshuois
zeojxqam,mlfacpjn
kskbzivf,jhenzxmo
lwdvbljb,uuthnxto
zkeiakbu,zwbnaxps
mfjarqnq,ylfoepvq
swbwpetq,pujbnbdm
uqvzpsmb,joxexlwj
ytjymhxy,vfkokevp
qzdhgplk,kshuzatg
xharmaqe,ibelzajv
loighzvd,mmjkubhy
vtnyuafn,madanzfq
mjzhgjqh,ntvshmgg
hhtoagij,arsgznda
yrdgtdel,cytlpnzt
jaenaudt,juligjsf
gdjdmded,nuvsxppj
fzjopcwr,pshazkjh
ojqctyyr,rmfqdghp
zqrvhhmk,ypzfovrw
bhpqmvmm,ovrkbkyv
inimmifv,jwqrqnls
xkjizzlm,mxuoxusl
wfzcgahj,tvxmdmqa
qtcenyxx,coifzlju
vcvoilvu,zpfdaptj
yswsepaa,egjlwezp
dftwermw,wuxwfsqg
qltxisqe,rvvmfaxi
vwqivvwd,ihpcajdy
jferwnfb,dqgxyzzq
pmfowbch,qetucsvd
ejzhvpuo,ksmfesua
rgxevfde,mhwhufou
szrszrtv,ynzkcqry
jkfumthv,rqqosozu
miklvsaw,qgmneagz
sqhppjug,cotmezko
ofogqdpg,alnumjka
fjovakvc,akxtcphs
qsyrtoqr,xeoqcgfs
bwaasndm,nycscizx
pyaqkkeo,gijnesuc
gmapfcaq,akqeohtu
ziulkkqm,alppjnxu
zvquzvoo,gceziqss
slsugbes,cvjcfbhn
zzwgnsfb,xzihjddw
cckbcweh,hvghoyby
ljehzokj,nfguysjz
fbpcgweo,khetbnjr
pmrqzpwu,fhjhrrvs
hvciwcrk,jeraeimq
nkgjcnnc,vzkeomft
ludmodwg,bkqdeebk
sulnthob,ehtfbghz
czpjelpi,jkdmbpkd
rsddtfgl,uytnnvkm
qgdfzxtt,hdnajluz
xhpekkhq,ticmvmww
iltrxskc,tpqqqddt
jqsssqqk,phwnijjd
pkebpdow,eyuczcnb
ebgzsmbr,vhwynrun
hxlbivod,qbpokwjd
tgivtddo,hbvvyeoo
dtxcxugg,ftditmje
ztqplxbh,hmyvivbi
dbpqpjuj,pblqchcd
seucikss,zikarqld
yloqovra,pbwmqtli
yuraohac,rjwkwmef
sqddeooe,pgmawgls
gtqkrjxd,gqpssile
whjqkvle,oqukybvv
thakwhge,vvadrojr
tezbgvdi,hbzohiov
jcmagdnw,auitmdlg
lyvsdklc,nrgaywxo
vdotpdgg,megxcpzs
xfjfhbqr,ybtfbwas
byqzmorm,exlzbdxl
oxoqatpj,spatbkhx
wsjpmtka,xrvsqhsu
ygupkmab,qiaoyvjk
dgkakhkh,puxrhabs
boryywvt,ylmhmdgi
ailqjhqn,icmcprlg
brtpstdn,scnbqztl
svrswevi,vjkmhigj
paujytla,qlyxnzcg
gcjsrbvm,kwykpqoi
wppxvqrq,boeentgh
yhmfoyza,fenxwcxn
qehnsmfb,acwcifia
tkkcaqtf,fkzdhgst
nagovged,qaeavgjt
nfzzjmli,xsunqbjb
rrybhkby,syzmzgut
srlecbzf,wqapgqye
obeyzrgt,jxfsbenw
lhptsvqy,hitumccd
gsqwqpup,jqvksrws
erjqjtvv,dypwkqzk
nprgjifq,sweuidei
neydayiv,wwuvgjmu
uxxufhet,cfplxwbg
okzjtsrj,gqfasvbf
fiuimwti,uaqmbqak
rokiugaj,rnjumbwa
gokionom,uskypmdh
wrutfnjh,npvqfjsy
pjuyngdm,iqpzkhwr
caymtzfx,fvicxilb
lotbrley,iauemffb
ksoaxybh,nlcrhgng
pmslxgdd,aqzduscv
ginyzehc,xsggsldq
vhlhqaby,yzvoiptz
uxtqwqbj,pjogutlt
nsrpfdqz,fhqkppbn
kvoouxmf,qztqltqb
rmmshskr,jqrkhrdt
ocvtzeky,fknxnbky
betfysdl,fdgcmsmn
tjcxupql,jpqvribi
spuokgwf,fvovmuph
chvohwzu,aztojqma
orjrupfv,ptlnsulu
cmqnyymb,dlarwchz
ldladzbu,ckptanfl
puruasjb,rboolbqe
cpfkllxs,ndmgheuk
vjinfhkz,jiumtpvi
emnqdbvv,htgufgkj
bjlxqfsq,fcoknywl
rdxpjzso,zjvywlhf
toircfhc,hxspqfsj
sponbgyr,jofkwpce
lljtvnrc,gnxfpwtt
zlmaulzg,ikciwfld
jhtdpwwk,oqsrkwnz
ohkzbxtp,oqrlozvv
yggjjbsn,iafjamkc
dzjxrhbg,sdidrpcn
pdetdmgu,hjtcmfjx
tsvyefxs,cvuetwpl
tjjzsgsg,xkzxnslw
swlztbtw,jsfvzhbt
xymapbtv,julujfed
xhppieck,wbybufsb
dbhcsyto,qyxfnkpx
gqyvmwos,dhwaokgo
wyeiarsx,anvuseto
nxxsbkvp,ykjcdchp
ahtldtsy,vobtaxqx
roxaejxb,qcrwpukn
rvlufpod,iqbbbkuh
muwvtcgg,rclvrizx
sydzynjr,uyxkwsmv
kmsseimy,gnpbsofx
kqikpbsq,tybrnjji
sisxnsux,rvxlzsrr
wwkwaljl,jpcaignc
vknqhxil,esvyswsu
kiwxoudn,bslokgov
juvfrtdi,dyllmrwi
yzgtjlmw,souiymvv
qgsffcnv,nrfztgrl
cpsiujob,scrxziye
xcxchxuz,svxfeupe
jcjporol,sfzyxjid
eadfnodj,acgnynhs
mhwqfeui,qqhcrbnw
izqjsrij,vgkgnwkl
iojbghbz,kptdeeuh
uvhamcvz,zuuzsbti
hheggeim,kiogxqdx
inrtiqzj,fnlozdvs
